RentTotal,SqftLease,Rent/Sqft,1/SqftLease,FirmType,Age,Renovation,Wiring,Occupancy,LeaseLen,Renewable,Location,DistCity,DistAirp,DriveAirp,DistHosp,FloorLease,FloorsBldg,SqftFloor,Elevators,Parking,Restaurant,Exercise
2180934,60979,35.77,0.000016399,BUS.,10,10,YES,0.93,4,NO,SUBNEW,1.9,14.1,24,1.3,1,6,37634,2,0,YES,YES
1048543,28226,37.15,0.000035428,LEGAL,8,8,YES,0.9,10,NO,SUBNEW,5.2,10.4,18,0.1,11,14,40572,6,1,YES,YES
1832767,50243,36.48,0.000019903,BUS.,8,8,YES,0.84,5,NO,SUBNEW,4.2,12.9,23,1.5,3,11,35814,6,6,YES,YES
728888,27829,26.19,0.000035934,OTHER,27,16,YES,0.66,7,NO,SUBOLD,1.6,15.8,31,1,3,6,9007,5,3,NO,NO
291104,10919,26.66,0.000091583,LEGAL,33,33,NO,0.85,9,NO,SUBOLD,4.6,17.8,39,1.2,6,11,17222,7,0,NO,NO
142191,4078,34.87,0.000245218,LEGAL,44,44,NO,0.83,4,YES,CITY,0.5,14.8,27,0.9,12,22,20960,5,0,NO,NO
1448426,39156,36.99,0.000025539,OTHER,59,40,NO,0.89,3,NO,CITY,0.1,14.2,25,0.5,3,15,9577,4,5,NO,NO
616814,27094,22.77,0.000036909,LEGAL,30,30,NO,0.53,5,NO,SUBOLD,1.6,16,32,0.7,8,8,27998,4,3,NO,NO
367724,13515,27.21,0.000073992,OTHER,21,21,NO,0.77,9,NO,SUBOLD,2.4,16.8,35,1.4,9,12,30051,6,0,NO,NO
667938,24098,27.72,0.000041497,BUS.,47,12,NO,0.94,9,NO,SUBOLD,4.9,18.3,41,1.2,2,9,24972,5,4,NO,NO
463231,11456,40.44,0.000087291,BUS.,79,8,YES,0.86,3,NO,CITY,1.2,13.1,21,0.5,1,1,11457,0,1,YES,YES
272592,10000,27.26,0.0001,OTHER,20,3,NO,0.96,10,YES,SUBOLD,3.9,18.2,40,1.5,3,14,36727,4,1,YES,YES
39075,1765,22.14,0.000566572,OTHER,13,1,NO,1,7,YES,SUBOLD,5.5,18.9,43,1.7,1,13,28830,3,0,YES,YES
226485,6759,33.51,0.000147951,BUS.,9,9,YES,0.56,9,NO,SUBNEW,3.9,12.4,20,1.7,4,14,59733,6,2,YES,YES
337155,9933,33.94,0.000100675,BUS.,13,13,NO,0.8,4,NO,SUBNEW,1.8,14.4,25,1.4,3,22,47537,9,0,NO,NO
1017535,28635,35.53,0.000034922,BUS.,29,29,NO,0.8,9,NO,SUBNEW,2.1,12.6,18,1.2,3,5,20474,4,0,NO,NO
285074,7550,37.76,0.00013245,BUS.,1,1,YES,0.46,3,NO,SUBNEW,5.4,10.1,17,0.4,1,13,24278,6,0,YES,YES
47794,1201,39.8,0.000832639,DOCTOR,45,45,NO,0.94,9,NO,CITY,1.4,13,20,0.7,1,8,21185,5,0,NO,NO
515459,13212,39.01,0.000075689,DOCTOR,46,25,NO,0.99,4,YES,CITY,0.6,13.8,23,0.1,25,28,11228,5,1,YES,NO
351039,12587,27.89,0.000079447,DOCTOR,27,4,NO,0.91,7,NO,SUBOLD,2.1,16.5,33,1.2,2,12,26746,5,2,YES,YES
358259,9624,37.23,0.000103907,BUS.,30,30,NO,0.94,7,NO,SUBNEW,5.3,11,20,0.7,6,14,23884,5,0,NO,NO
208835,6157,33.92,0.000162417,GOVT,71,71,NO,0.93,7,NO,CITY,1.3,14.2,24,1.2,2,13,15456,4,1,NO,NO
1616457,53381,30.28,0.000018733,BUS.,23,23,NO,0.77,3,NO,SUBNEW,5.3,11.5,21,1.2,16,16,54282,6,3,NO,NO
69115,2040,33.88,0.000490196,LEGAL,4,4,YES,0.97,8,NO,SUBNEW,5.3,12.1,23,1.8,10,12,24280,5,0,YES,YES
121932,4589,26.57,0.000217912,LEGAL,7,7,NO,0.67,9,NO,SUBOLD,2.2,15.2,28,1.5,13,19,75450,5,0,YES,YES
2170939,54873,39.56,0.000018224,BUS.,2,2,YES,0.85,3,NO,SUBNEW,3.8,11,13,1.6,21,23,49694,7,0,YES,YES
1341142,39090,34.31,0.000025582,BUS.,19,19,NO,0.85,6,NO,SUBNEW,2.4,12,16,0.4,7,26,61641,9,2,NO,NO
404026,12702,31.81,0.000078728,GOVT,15,15,YES,0.94,10,NO,SUBNEW,2.4,14,24,0.8,7,13,33877,5,0,YES,YES
2869,193,14.89,0.00519129,LEGAL,8,8,YES,0.8,10,NO,SUBOLD,2.2,15.3,29,1.7,7,9,44121,3,6,NO,NO
649125,18177,35.71,0.000055015,BUS.,6,6,YES,0.76,9,NO,SUBNEW,5.5,10.3,19,0.1,1,13,15145,7,0,YES,YES
150652,6030,24.98,0.000165837,DOCTOR,29,29,YES,0.83,6,YES,SUBOLD,2.7,16.4,33,1.4,2,6,23854,6,1,NO,NO
471379,18935,24.89,0.000052812,BUS.,37,37,YES,0.81,6,NO,SUBOLD,2.3,16.7,34,1.4,15,17,41007,3,1,NO,NO
45527,1723,26.42,0.000580383,LEGAL,5,5,NO,0.73,5,NO,SUBOLD,2.9,16.5,33,1.3,7,9,36328,5,0,YES,YES
774862,24159,32.07,0.000041392,BUS.,23,23,NO,0.88,10,NO,SUBNEW,4.3,11.3,17,1,13,17,50806,4,1,NO,NO
266022,7299,36.45,0.000137005,DOCTOR,13,13,YES,0.89,10,NO,SUBNEW,1.8,13.5,21,1.4,7,16,43585,7,0,NO,NO
288265,7934,36.33,0.00012604,DOCTOR,24,24,NO,0.95,5,NO,CITY,0.5,13.8,23,0.1,41,45,38238,13,1,NO,NO
211412,5893,35.88,0.000169693,DOCTOR,22,22,NO,0.96,4,NO,SUBNEW,3.8,10.9,12,1.6,1,16,44968,7,1,NO,NO
1115939,27987,39.87,0.000035731,LEGAL,2,2,YES,0.89,4,NO,SUBNEW,5.4,11.3,21,1,15,15,39254,7,4,YES,YES
59827,2253,26.55,0.000443853,LEGAL,6,6,NO,0.94,3,NO,SUBOLD,1.8,16.2,33,0.7,10,11,24875,3,0,NO,NO
1729932,42004,41.18,0.000023807,OTHER,29,7,YES,0.91,10,YES,CITY,0.7,13.7,23,0,20,48,31108,9,1,YES,YES
104496,2896,36.08,0.000345304,OTHER,11,11,YES,0.94,6,NO,SUBNEW,2.6,12.1,16,1,1,9,14110,5,1,YES,YES
203359,5363,37.92,0.000186463,GOVT,78,11,YES,0.89,4,NO,CITY,0.1,14.3,25,0.6,10,11,11285,6,1,NO,NO
377165,14723,25.62,0.000067921,LEGAL,5,5,NO,0.65,3,NO,SUBOLD,6.2,19.9,47,2.2,12,17,41661,5,2,NO,YES
1090793,40467,26.96,0.000024711,BUS.,30,12,NO,0.93,8,NO,SUBOLD,2.1,16.4,33,1.4,8,9,46416,6,4,NO,NO
353337,10685,33.07,0.000093589,DOCTOR,23,23,NO,0.91,4,YES,SUBOLD,1.8,15.2,28,1.9,1,15,38010,9,0,NO,NO
2345349,83161,28.2,0.000012025,LEGAL,20,20,NO,0.69,9,NO,SUBNEW,2,12.6,18,1,11,13,31491,5,0,NO,NO
93769,3799,24.68,0.000263227,DOCTOR,49,18,NO,0.81,4,NO,SUBOLD,2.2,15.9,31,1.9,1,5,34698,2,0,YES,YES
106492,3026,35.19,0.000330469,GOVT,1,1,YES,0.56,8,YES,SUBNEW,4.7,11.4,18,0.9,7,20,55825,6,0,YES,YES
582239,14792,39.36,0.000067604,LEGAL,42,1,YES,0.98,3,NO,CITY,0.7,14.8,27,1.1,39,41,24201,9,0,YES,YES
685871,16763,40.92,0.000059655,OTHER,2,2,YES,0.93,8,NO,CITY,0.6,13.8,23,0.1,42,75,64160,10,3,YES,YES
4270344,112344,38.01,0.000008901,BUS.,17,17,YES,0.91,3,NO,SUBNEW,5.3,11.1,20,0.8,12,14,49493,7,0,YES,NO
1646249,40050,41.1,0.000024969,BUS.,8,8,YES,0.86,6,NO,CITY,1.4,13.1,22,0.9,36,70,31275,13,1,YES,YES
298638,7020,42.54,0.00014245,LEGAL,14,0,YES,0.88,3,NO,CITY,0.8,13.8,23,0.4,21,67,40695,12,0,YES,YES
99201,2593,38.26,0.000385654,LEGAL,45,45,NO,0.9,5,NO,CITY,0.5,13.9,23,0.2,1,19,12157,5,0,YES,NO
103349,3069,33.68,0.000325839,LEGAL,6,6,YES,0.92,8,NO,SUBNEW,3.8,13.7,25,0.6,6,7,37442,7,0,YES,YES
560585,13157,42.61,0.000076005,BUS.,10,10,YES,0.97,8,NO,CITY,0.9,13.5,22,0.2,2,69,38376,11,0,NO,NO
322029,8728,36.9,0.000114574,BUS.,2,2,YES,0.93,7,NO,SUBNEW,5,11.1,19,0.6,11,11,35069,4,0,YES,YES
605475,19138,31.64,0.000052252,LEGAL,29,29,NO,0.88,10,NO,SUBNEW,3.1,13.2,21,1,6,8,34971,5,2,NO,NO
432564,15856,27.28,0.000063068,LEGAL,23,23,NO,0.82,6,YES,SUBOLD,3.4,17.5,37,0.5,12,14,5864,5,3,YES,NO
1828273,46520,39.3,0.000021496,DOCTOR,45,1,YES,0.81,5,NO,CITY,0.3,14.2,25,0.5,9,34,22520,8,1,YES,YES
418501,11813,35.43,0.000084653,BUS.,9,9,YES,0.69,4,NO,SUBNEW,2.2,14.3,25,1,8,10,40262,4,0,YES,YES
3324230,90204,36.85,0.000011086,BUS.,7,7,YES,0.98,7,NO,SUBNEW,5,10.4,16,0.4,1,19,46469,6,11,YES,YES
680531,23264,29.25,0.000042985,GOVT,27,27,NO,0.89,7,NO,SUBOLD,2.3,15.7,30,2.1,7,11,33152,5,3,NO,NO
719226,18122,39.69,0.000055182,BUS.,42,30,NO,0.99,3,NO,CITY,0.5,14,25,0.5,8,33,35765,6,3,NO,NO
1031577,31449,32.8,0.000031798,BUS.,23,23,NO,0.89,3,NO,SUBNEW,4.7,11.8,20,1.4,6,12,44314,5,6,NO,NO
1066287,33223,32.09,0.0000301,LEGAL,39,39,NO,0.94,10,NO,CITY,0.5,14.9,28,0.6,13,17,7291,5,8,NO,NO
626479,24335,25.74,0.000041093,LEGAL,29,29,NO,0.76,9,YES,SUBOLD,3.8,17.3,37,0.8,12,13,32389,5,2,NO,NO
1334230,35758,37.31,0.000027966,LEGAL,73,8,YES,1,10,NO,CITY,0.1,14.2,25,0.5,8,13,26630,4,1,YES,YES
1001966,28336,35.36,0.000035291,BUS.,41,24,NO,0.98,8,NO,CITY,0.1,14.3,25,0.5,17,26,23251,8,2,NO,NO
111077,4315,25.74,0.00023175,DOCTOR,38,38,NO,0.93,3,NO,SUBOLD,4.6,18.2,40,0.7,3,12,32023,3,0,NO,NO
2203267,60962,36.14,0.000016404,GOVT,60,60,NO,0.93,8,NO,CITY,0.3,14.1,24,0.3,8,16,12321,5,10,YES,NO
101645,2998,33.9,0.000333556,OTHER,50,50,NO,0.88,10,NO,CITY,0.2,14.1,25,0.4,2,15,19302,3,0,NO,NO
1114084,43447,25.64,0.000023017,BUS.,43,18,NO,0.72,9,NO,SUBOLD,4.2,17.6,38,0.9,7,8,26131,3,0,NO,NO
803838,21660,37.11,0.000046168,LEGAL,26,8,YES,0.95,9,NO,SUBNEW,3.6,12,18,1.8,9,9,45718,2,0,NO,NO
34211,1041,32.86,0.000960615,OTHER,15,15,NO,1,9,NO,SUBNEW,3.8,11.8,17,1.6,1,6,11718,5,0,NO,NO
1630996,46984,34.71,0.000021284,BUS.,13,13,NO,0.89,5,NO,SUBNEW,2.5,11.9,16,0.1,6,8,18422,2,4,YES,YES
421092,15719,26.79,0.000063617,LEGAL,38,38,NO,0.73,3,NO,SUBOLD,1.7,15.6,30,1.4,15,16,32768,5,2,NO,NO
1468515,46480,31.59,0.000021515,GOVT,30,6,YES,0.93,8,YES,SUBOLD,2.6,15.7,30,1.9,7,12,38299,5,0,YES,NO
1411060,38363,36.78,0.000026067,BUS.,3,3,YES,0.94,8,NO,SUBNEW,2.7,13.6,22,0.8,5,22,46399,5,0,YES,YES
1100459,45713,24.07,0.000021876,BUS.,21,21,NO,0.68,9,NO,SUBOLD,2.2,16.6,34,1,8,12,54927,3,0,YES,YES
389578,16563,23.52,0.000060376,LEGAL,2,2,NO,0.64,10,NO,SUBOLD,5.1,19.2,44,1.3,8,12,31105,7,0,NO,NO
115752,3058,37.85,0.000327011,GOVT,59,59,NO,0.93,10,YES,CITY,0.6,15,28,0.4,3,6,16219,2,1,NO,NO
1081190,30972,34.91,0.000032287,LEGAL,2,2,YES,0.92,7,NO,SUBNEW,3.3,12.3,18,1.9,2,18,59223,5,0,YES,YES
1969083,57821,34.05,0.000017295,GOVT,15,15,NO,0.96,7,YES,SUBNEW,5.3,11.3,21,1,16,19,45824,6,0,YES,YES
1759376,70859,24.83,0.000014113,BUS.,31,31,NO,0.84,4,NO,SUBOLD,2.3,16.6,34,1.5,8,10,24103,3,6,NO,NO
279543,8367,33.41,0.000119517,LEGAL,61,61,NO,0.98,10,NO,CITY,1.3,14.5,25,1.3,7,9,25737,2,1,NO,NO
1918358,51236,37.44,0.000019518,GOVT,16,2,YES,0.9,8,NO,SUBNEW,2.6,12.2,16,1.2,7,12,24508,6,6,YES,YES
3112751,90098,34.55,0.000011099,BUS.,40,40,YES,0.96,4,YES,SUBOLD,4,17.2,36,1.2,12,15,26513,4,7,NO,NO
562758,17195,32.73,0.000058156,BUS.,20,20,NO,0.91,3,NO,SUBNEW,3.5,13.9,25,0.4,2,13,23158,9,1,YES,NO
156375,4334,36.08,0.000230734,BUS.,40,22,NO,0.95,9,NO,CITY,0.1,14.5,26,0.7,42,46,35492,10,0,NO,NO
959203,22844,41.99,0.000043775,LEGAL,45,13,YES,0.97,5,NO,CITY,1.2,13.1,21,0.6,8,10,9816,3,4,NO,NO
1287180,63430,20.29,0.000015765,BUS.,44,32,NO,0.68,3,NO,SUBOLD,4.8,17.9,40,1.5,1,4,34739,4,0,NO,NO
2632566,72210,36.46,0.000013848,GOVT,9,9,YES,0.78,9,NO,SUBNEW,3.6,11.3,14,1.7,5,12,25772,5,0,YES,YES
1182284,42244,27.99,0.000023672,BUS.,45,21,NO,0.8,4,NO,SUBOLD,2.6,16.9,35,1.4,5,7,26008,3,0,NO,NO
277520,7583,36.6,0.000131874,LEGAL,43,27,NO,0.82,9,YES,CITY,1.4,13.3,24,0.7,42,46,20613,8,2,NO,NO
884838,29920,29.57,0.000033422,BUS.,7,7,NO,0.99,3,NO,SUBOLD,2.8,16.9,35,1.1,2,7,26798,5,3,YES,NO
4843767,130273,37.18,0.000007676,BUS.,28,10,YES,0.85,4,NO,SUBNEW,3.1,11.7,14,1.2,14,22,30177,9,14,NO,NO
1254711,34902,35.95,0.000028652,DOCTOR,39,7,YES,0.99,10,NO,CITY,0.2,14.6,26,0.9,7,21,30130,5,0,NO,YES
4200310,126296,33.26,0.000007918,BUS.,19,19,NO,0.9,10,NO,SUBNEW,3.7,13.3,23,0.9,1,18,57306,6,13,NO,NO
6122607,50629,120.93,0.000019752,LEGAL,40,6,YES,0.97,7,NO,CITY,1.4,13,21,0.7,36,37,26238,8,7,YES,YES
333662,8299,40.21,0.000120496,BUS.,26,12,YES,0.71,4,NO,SUBNEW,4.5,11.7,19,1.3,7,14,44534,9,2,YES,YES
787292,23160,33.99,0.000043178,LEGAL,35,35,NO,0.78,4,NO,CITY,0.6,13.7,23,0.1,6,30,30419,8,2,NO,NO
60612,2422,25.03,0.000412882,DOCTOR,24,24,NO,0.59,8,NO,SUBOLD,3.3,16.6,34,1.4,1,10,47503,8,0,NO,NO
292860,7656,38.25,0.000130617,DOCTOR,40,21,NO,0.96,4,NO,CITY,0.5,14.1,24,0.4,28,38,36002,6,0,NO,NO
270081,7237,37.32,0.000138179,LEGAL,36,36,NO,0.95,10,YES,CITY,1.4,13.1,20,0.8,8,38,22798,8,0,NO,NO
161110,5075,31.75,0.000197044,BUS.,29,29,NO,0.63,5,NO,SUBNEW,2.6,11.8,16,0.1,2,18,46112,7,0,NO,NO
372001,13736,27.08,0.000072801,LEGAL,0,0,NO,0.46,5,YES,SUBOLD,1.8,15.4,29,1.7,9,15,46908,7,2,NO,NO
334401,12603,26.53,0.000079346,GOVT,10,10,YES,0.67,8,YES,SUBOLD,4.6,18.9,43,1.4,13,15,15598,8,2,YES,YES
286594,6629,43.23,0.000150852,LEGAL,8,8,YES,0.98,6,YES,CITY,1.3,15.1,28,1.4,61,71,41659,13,1,YES,YES
1332141,46493,28.65,0.000021509,OTHER,26,1,NO,0.87,7,NO,SUBOLD,3.7,16.7,35,1.5,11,15,55031,3,3,YES,YES
3600294,95990,37.51,0.000010418,BUS.,70,70,NO,0.95,4,NO,CITY,1.3,13.1,20,0.6,6,10,19665,3,7,YES,NO
688026,20388,33.75,0.000049048,OTHER,30,11,YES,0.76,8,NO,SUBNEW,2.9,12.6,18,1.6,2,15,34461,5,0,NO,NO
830761,24917,33.34,0.000040133,GOVT,44,44,NO,0.94,10,NO,CITY,1.2,13.2,21,0.5,11,19,22632,4,5,NO,NO
147817,3994,37.01,0.000250376,LEGAL,40,17,NO,0.87,9,NO,CITY,0.4,14.4,26,0.8,8,10,24446,5,0,YES,NO
1351676,38680,34.95,0.000025853,BUS.,61,46,NO,0.99,6,NO,CITY,0.8,14.5,25,1,2,9,13755,4,3,NO,NO
151900,4031,37.68,0.000248077,OTHER,38,0,YES,0.91,7,NO,CITY,1.2,15.6,30,0.4,3,17,31761,3,0,YES,YES
1122717,33520,33.49,0.000029833,BUS.,24,24,NO,0.81,5,NO,SUBNEW,2.2,12.8,18,1.5,3,13,46165,3,0,NO,NO
233624,6675,35,0.000149813,OTHER,11,11,YES,0.77,6,NO,SUBNEW,2.9,13.2,21,1,1,12,36283,5,0,YES,YES
186131,6569,28.33,0.00015223,LEGAL,4,4,NO,0.96,4,NO,SUBOLD,1.7,15.8,31,1.2,3,3,31278,2,1,YES,YES
3158049,89363,35.34,0.00001119,BUS.,3,3,YES,0.81,9,NO,SUBNEW,2.1,12.4,17,0.7,5,12,40149,6,13,YES,YES
411685,11141,36.95,0.000089759,DOCTOR,51,51,NO,0.99,3,NO,CITY,0.9,13.5,22,0.4,7,26,28758,5,0,NO,NO
114697,4510,25.43,0.000221729,DOCTOR,42,9,NO,0.6,6,NO,SUBOLD,1.7,16,32,0.8,3,15,29642,4,0,NO,NO
81891,2303,35.56,0.000434216,DOCTOR,64,64,NO,0.84,10,NO,CITY,1.2,13.2,22,0.6,1,15,25644,4,0,NO,NO
2943669,76820,38.32,0.000013017,BUS.,41,24,NO,0.92,3,YES,CITY,1.2,13.2,22,0.8,2,24,11338,5,7,NO,NO
782286,20147,38.83,0.000049635,BUS.,7,7,YES,0.75,3,NO,SUBNEW,4.9,10.7,17,0.4,9,15,31162,3,3,YES,YES
328516,9250,35.52,0.000108108,DOCTOR,24,11,YES,0.69,5,NO,SUBNEW,5.4,12.6,25,2.4,18,21,32873,8,0,NO,NO
366640,10470,35.02,0.000095511,GOVT,48,48,NO,0.92,7,YES,CITY,0.7,13.9,23,0.5,1,16,23473,5,0,NO,NO
223439,6393,34.95,0.000156421,DOCTOR,14,14,YES,0.64,7,NO,SUBNEW,5.6,10.5,20,0.4,3,19,49077,10,0,NO,NO
449597,12198,36.86,0.000081981,OTHER,15,15,YES,0.83,7,NO,SUBNEW,2.8,12,15,1.1,14,16,52473,6,1,YES,NO
1978488,51091,38.72,0.000019573,GOVT,2,2,YES,0.68,7,NO,SUBNEW,4.6,10.7,15,0.7,17,20,46314,6,0,YES,YES
305087,7894,38.65,0.000126678,DOCTOR,1,1,YES,0.56,6,NO,SUBNEW,4.9,12.7,24,2.1,2,10,30442,6,1,YES,YES
87892,2756,31.89,0.000362845,GOVT,25,25,NO,0.84,7,NO,SUBNEW,3.9,12.7,21,1.5,7,20,51730,5,0,YES,NO
971225,24927,38.96,0.000040117,BUS.,23,23,NO,0.97,3,NO,SUBNEW,5.4,10.2,18,0.2,12,18,45914,3,0,NO,NO
2078045,56914,36.51,0.00001757,LEGAL,50,50,NO,0.92,7,YES,CITY,0.3,14.7,27,0.8,23,30,23610,5,0,NO,NO
1668397,46731,35.7,0.000021399,GOVT,15,15,YES,0.95,8,NO,SUBNEW,4.2,11.6,17,1.3,16,20,57889,7,3,YES,YES
823248,24729,33.29,0.000040438,BUS.,23,23,NO,0.81,3,NO,SUBNEW,1.9,14.7,26,1.4,11,18,52963,5,2,NO,NO
782102,20692,37.8,0.000048328,GOVT,41,30,NO,0.98,10,NO,CITY,1.1,13.5,24,0.8,13,15,28410,4,1,YES,NO
829632,23819,34.83,0.000041983,BUS.,11,11,YES,0.85,7,NO,SUBNEW,5.4,10,18,0.4,4,19,57621,6,2,YES,YES
485180,16104,30.13,0.000062096,BUS.,12,12,YES,0.98,5,NO,SUBOLD,3.9,17.6,38,0.5,2,8,35267,3,0,NO,NO
550064,14547,37.81,0.000068743,DOCTOR,41,9,YES,0.98,6,NO,CITY,1,15.3,30,0.2,7,12,17376,4,0,YES,YES
325035,9141,35.56,0.000109397,OTHER,60,44,NO,0.95,4,NO,CITY,1.1,15.4,30,0.3,11,12,7400,3,1,NO,NO
692849,17771,38.99,0.000056271,BUS.,20,20,NO,0.91,10,NO,CITY,0.3,14.7,27,0.8,23,55,35349,10,0,NO,NO
117749,3042,38.71,0.000328731,DOCTOR,59,25,NO,0.8,7,NO,CITY,0.9,13.5,22,0.2,1,17,13542,3,1,NO,NO
1272676,40003,31.81,0.000024998,BUS.,12,12,NO,0.84,8,NO,SUBNEW,1.9,13.3,20,1.4,13,16,11320,5,7,YES,YES
1167026,33886,34.44,0.000029511,BUS.,17,17,NO,0.87,9,NO,SUBNEW,3.9,12.1,19,1.8,8,22,55817,8,0,YES,YES
57197,1714,33.37,0.000583431,DOCTOR,14,14,NO,0.89,10,NO,SUBNEW,2.7,11.7,15,0.3,2,19,36590,8,0,YES,YES
401444,13377,30.01,0.000074755,BUS.,27,27,NO,0.91,3,NO,SUBNEW,2.3,14.2,24,0.8,10,12,46247,5,4,YES,NO
192214,5017,38.31,0.000199322,DOCTOR,81,5,YES,0.95,8,NO,CITY,1.1,13.7,22,0.7,3,5,14546,4,0,YES,YES
